date,usd_inr,crude_proxy,freight_index,power_tariff_proxy,diesel_proxy,bromine_market_price_proxy,salt_trade_unit_value_proxy,rainfall_proxy,monsoon_intensity_proxy,source_id
2022-12-31,,,,,,5638.3,23.5,,,wits-ind-bromine-2024-import
2023-12-31,,,,,,4563.7,24.3,,,wits-ind-bromine-2024-import
2024-12-31,,,,,,2488.8,21.3,,,wits-ind-bromine-2024-import
2025-12-31,,,,,,,,,,wits-ind-bromine-2025-import
